constituency,candidate,party,"Total Votes"
"GUMMIDIPOONDI - 1",T.J.GOVINDARAJAN,"Dravida Munnetra Kazhagam",62492
"GUMMIDIPOONDI - 1",SUDHAKAR.V,"All India Anna Dravida Munnetra Kazhagam",66375
"GUMMIDIPOONDI - 1",M.JAGADEESAN,"Bahujan Samaj Party",697
"GUMMIDIPOONDI - 1","R.SRIDAR. B.L.,","Naam Tamilar Katchi",4756
"GUMMIDIPOONDI - 1","SDK SANKAR","Aanaithinthiya Jananayaka Pathukappu Kazhagam",599
"GUMMIDIPOONDI - 1","K. CHANDRA SEKAR","Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",336
"GUMMIDIPOONDI - 1",S.VIJAYAKUMAR,"Tamilaga Vettri Kazhagam",94320
"GUMMIDIPOONDI - 1",M.KUMARAN,Independent,260
"GUMMIDIPOONDI - 1",GOPAL.K,Independent,177
"GUMMIDIPOONDI - 1",T.GOVINDAN,Independent,206
"GUMMIDIPOONDI - 1","A.H. SIVA GANESH",Independent,104
"GUMMIDIPOONDI - 1",D.SUDHAKAR,Independent,321
"GUMMIDIPOONDI - 1",V.SUDHAKAR,Independent,217
"GUMMIDIPOONDI - 1",D.DINESH,Independent,222
"GUMMIDIPOONDI - 1","G.RANJITH B.SC.L.L.B",Independent,503
"GUMMIDIPOONDI - 1",NOTA,"None of the Above",937
"PONNERI - 2","DURAI CHANDRASEKAR","Indian National Congress",54671
"PONNERI - 2",SANTHOSHKUMAR.J,"Bahujan Samaj Party",615
"PONNERI - 2",BALARAMAN.P,"All India Anna Dravida Munnetra Kazhagam",51468
"PONNERI - 2",RAJATHI.M,"Naam Tamilar Katchi",6676
"PONNERI - 2","ASHOK PRIYADARSHAN","Desiya Makkal Sakthi Katchi",366
"PONNERI - 2",RAJA.S,"Vanchit Bahujan Aaghadi",299
"PONNERI - 2","KOTTEESWARAN. K","Tamizhaga Vaazhvurimai Katchi",166
"PONNERI - 2",MALATHI.S,"Tamizhaga Murpokku Makkal Katchi",371
"PONNERI - 2",DR.RAVI.M.S,"Tamilaga Vettri Kazhagam",110439
"PONNERI - 2",NAGAIYAN.G,Independent,232
"PONNERI - 2",BARATHIRAJA.K,Independent,159
"PONNERI - 2",RAJASEKAR.J,Independent,289
"PONNERI - 2",VENKATESAN.S,Independent,203
"PONNERI - 2",NOTA,"None of the Above",865
"TIRUTTANI - 3",G.HARI,"All India Anna Dravida Munnetra Kazhagam",89169
"TIRUTTANI - 3",D.KRISHNAMURTHY,"Desiya Murpokku Dravida Kazhagam",54863
"TIRUTTANI - 3","CHANDRAN .S.S","Naam Tamilar Katchi",6704
"TIRUTTANI - 3",MUTHURAJ.G,"Bahujan Samaj Party",470
"TIRUTTANI - 3","M.SATHYA KUMAR","Tamilaga Vettri Kazhagam",83376
"TIRUTTANI - 3",BALAJI.A,"Thakkam Katchi",272
"TIRUTTANI - 3",PAVENDHAN.Y.R,"Tamizhaga Vaazhvurimai Katchi",132
"TIRUTTANI - 3",KRISHNAMOORTHY.K,Independent,210
"TIRUTTANI - 3",KRISHNAMOORTHY.D,Independent,467
"TIRUTTANI - 3",KRISHNAMOORTHY.M,Independent,946
"TIRUTTANI - 3",SHETTU.S,Independent,153
"TIRUTTANI - 3",DR.A.V.NARENDRAN,Independent,198
"TIRUTTANI - 3",JAMBU.B,Independent,628
"TIRUTTANI - 3",NOTA,"None of the Above",1210
"THIRUVALLUR - 4","V.G. RAAJENDRAN","Dravida Munnetra Kazhagam",67430
"THIRUVALLUR - 4","K. SENTHILKUMAR","Naam Tamilar Katchi",5513
"THIRUVALLUR - 4","BE VEE RAMANAH","All India Anna Dravida Munnetra Kazhagam",56562
"THIRUVALLUR - 4","B. RAJESH KUMAR","Bahujan Samaj Party",674
"THIRUVALLUR - 4","DR. T. ARUNKUMAR","Tamilaga Vettri Kazhagam",92190
"THIRUVALLUR - 4","E. MANI","Republican Party of India (Athawale)",653
